epoch,ca,f1,learning_rate,loss,val_ca,val_f1,val_loss
0,0.10263849794864655,0.10205129534006119,9.999999747378752e-06,26.743410110473633,0.056382980197668076,0.04005880281329155,25.418006896972656
1,0.10662797838449478,0.10625483095645905,9.999999747378752e-06,25.599393844604492,0.059574469923973083,0.06991271674633026,25.14592170715332
2,0.11750838905572891,0.1172909140586853,9.999999747378752e-06,25.142120361328125,0.07446808367967606,0.06026344373822212,24.814342498779297
3,0.12585003674030304,0.125900000333786,9.999999747378752e-06,24.725053787231445,0.12659575045108795,0.1414833962917328,24.46661949157715
4,0.13954120874404907,0.13952407240867615,9.999999747378752e-06,24.30011749267578,0.2117021232843399,0.15191662311553955,24.040138244628906
5,0.15160033106803894,0.1513971984386444,9.999999747378752e-06,23.856063842773438,0.2260638326406479,0.18077094852924347,23.60759925842285
6,0.17036902904510498,0.16992568969726562,9.999999747378752e-06,23.381486892700195,0.39734041690826416,0.24328282475471497,23.09018898010254
7,0.19847674667835236,0.19747868180274963,9.999999747378752e-06,22.872217178344727,0.4893617033958435,0.34874796867370605,22.550128936767578
8,0.2282165139913559,0.22658595442771912,9.999999747378752e-06,22.35097312927246,0.48457446694374084,0.3747517466545105,21.990957260131836
9,0.25967901945114136,0.2581212520599365,9.999999747378752e-06,21.803909301757812,0.5228723287582397,0.4533368945121765,21.400793075561523
10,0.3022032678127289,0.29834121465682983,9.999999747378752e-06,21.24378776550293,0.5202127695083618,0.44132915139198303,20.817588806152344
11,0.3398313522338867,0.33526933193206787,9.999999747378752e-06,20.685850143432617,0.5271276831626892,0.4772000312805176,20.235807418823242
12,0.39251065254211426,0.3883287310600281,9.999999747378752e-06,20.10906982421875,0.5484042763710022,0.5057133436203003,19.601415634155273
13,0.42823466658592224,0.42269620299339294,9.999999747378752e-06,19.572465896606445,0.5494681000709534,0.5134554505348206,19.100536346435547
14,0.4689455032348633,0.46307021379470825,9.999999747378752e-06,19.04096794128418,0.5430850982666016,0.5250083804130554,18.646944046020508
15,0.48943692445755005,0.4830399453639984,9.999999747378752e-06,18.547462463378906,0.5829787254333496,0.5380731821060181,18.07871437072754
16,0.5260676145553589,0.519877552986145,9.999999747378752e-06,18.04144859313965,0.6031914949417114,0.5770538449287415,17.61077308654785
17,0.5458337068557739,0.5399011373519897,9.999999747378752e-06,17.578514099121094,0.6164893507957458,0.5848966836929321,17.160253524780273
18,0.5637863874435425,0.5583608746528625,9.999999747378752e-06,17.12029457092285,0.6563829779624939,0.6053404211997986,16.689170837402344
19,0.584459125995636,0.5789088010787964,9.999999747378752e-06,16.661054611206055,0.672340452671051,0.6305025219917297,16.239999771118164
20,0.5998730659484863,0.5940117239952087,9.999999747378752e-06,16.224559783935547,0.7037234306335449,0.6451835036277771,15.779413223266602
21,0.6161029934883118,0.6103803515434265,9.999999747378752e-06,15.794978141784668,0.7090425491333008,0.6594752073287964,15.383837699890137
22,0.6375917792320251,0.632668673992157,9.999999747378752e-06,15.363482475280762,0.7409574389457703,0.6694625020027161,14.925678253173828
23,0.6498322486877441,0.6448902487754822,9.999999747378752e-06,14.942920684814453,0.7755318880081177,0.7090755701065063,14.50084400177002
24,0.663976788520813,0.6598079800605774,9.999999747378752e-06,14.533628463745117,0.792553186416626,0.7182844281196594,14.079647064208984
25,0.6744038462638855,0.6700643301010132,9.999999747378752e-06,14.148611068725586,0.7989361882209778,0.7281228303909302,13.707371711730957
26,0.6925378441810608,0.6885412335395813,9.999999747378752e-06,13.750277519226074,0.8069148659706116,0.7464897036552429,13.337552070617676
27,0.698703408241272,0.6949729919433594,9.999999747378752e-06,13.370964050292969,0.8015957474708557,0.7448796629905701,12.970003128051758
28,0.7117599248886108,0.7080446481704712,9.999999747378752e-06,13.000262260437012,0.8127659559249878,0.7615638375282288,12.596736907958984
29,0.7278991937637329,0.7245620489120483,9.999999747378752e-06,12.632397651672363,0.8058510422706604,0.752769947052002,12.240955352783203
30,0.7329766750335693,0.7293800711631775,9.999999747378752e-06,12.274276733398438,0.8175531625747681,0.770193874835968,11.897588729858398
31,0.7406836748123169,0.737643837928772,9.999999747378752e-06,11.928777694702148,0.8079787492752075,0.7740620374679565,11.578728675842285
32,0.7535588145256042,0.7503706812858582,9.999999747378752e-06,11.581316947937012,0.8047872185707092,0.7763004302978516,11.240013122558594
33,0.7589083313941956,0.756200909614563,9.999999747378752e-06,11.249299049377441,0.8090425729751587,0.7825462818145752,10.927919387817383
34,0.761265754699707,0.7583465576171875,9.999999747378752e-06,10.927657127380371,0.8132978677749634,0.7832401394844055,10.611284255981445
35,0.7754102945327759,0.7725375294685364,9.999999747378752e-06,10.600395202636719,0.8095744848251343,0.7860773801803589,10.30666446685791
36,0.7836612462997437,0.7811333537101746,9.999999747378752e-06,10.283041954040527,0.8010638356208801,0.790237307548523,10.021650314331055
37,0.7900081872940063,0.7872522473335266,9.999999747378752e-06,9.97443675994873,0.8101063966751099,0.7932512760162354,9.722224235534668
38,0.8008885383605957,0.799115777015686,9.999999747378752e-06,9.66995906829834,0.8037233948707581,0.7928018569946289,9.448850631713867
39,0.8024299740791321,0.8003697395324707,9.999999747378752e-06,9.39110279083252,0.7920212745666504,0.7885234951972961,9.198429107666016
40,0.8104996085166931,0.8087002635002136,9.999999747378752e-06,9.109062194824219,0.806382954120636,0.7947860956192017,8.916903495788574
41,0.817934513092041,0.8161872625350952,9.999999747378752e-06,8.830280303955078,0.8090425729751587,0.7990158796310425,8.650452613830566
